epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.8391,1.14388,3.9387,1.28021,0.00648,0.72381,0.23969,0.19798,0.87769,4.12014,1.10648,0.00019998,0.00019998,0.00019998
2,123.099,0.97372,2.71194,1.1339,0.6754,0.39691,0.6258,0.36957,1.01342,3.78456,1.17252,0.000402931,0.000402931,0.000402931
3,183.147,1.02676,2.34943,1.16861,0.9643,0.22812,0.5297,0.34854,0.99044,3.49766,1.15278,0.000597522,0.000597522,0.000597522
4,243.378,0.96542,2.12508,1.1493,0.76749,0.50759,0.5749,0.36306,1.0848,3.25999,1.26601,0.000783755,0.000783755,0.000783755
5,303.845,1.02425,1.93823,1.16182,0.70226,0.71652,0.67228,0.46807,1.08476,2.83349,1.17683,0.000961628,0.000961628,0.000961628
6,363.847,1.02366,1.89787,1.13382,0.5803,0.5131,0.57524,0.40543,1.0908,2.51256,1.1838,0.00100101,0.00100101,0.00100101
7,423.451,1.04123,1.7933,1.18387,0.63166,0.67283,0.6574,0.41408,1.09481,3.10523,1.55425,0.000979013,0.000979013,0.000979013
8,483.281,0.94968,1.73775,1.11713,0.65987,0.84281,0.78956,0.50188,1.12444,2.94458,1.363,0.000957015,0.000957015,0.000957015
9,544.687,0.96997,1.63251,1.11142,0.79126,0.68458,0.80709,0.49102,1.04719,2.62681,1.22664,0.000935018,0.000935018,0.000935018
10,613.804,0.93532,1.50547,1.09236,0.69826,0.66447,0.72734,0.42561,1.06221,2.24764,1.23307,0.00091302,0.00091302,0.00091302
11,681.237,0.96541,1.48765,1.12439,0.80252,0.74654,0.8158,0.5603,1.01087,2.2331,1.20735,0.000891022,0.000891022,0.000891022
12,751.402,0.88694,1.43892,1.07284,0.9586,0.64512,0.79676,0.50362,0.97599,2.0623,1.22639,0.000869024,0.000869024,0.000869024
13,821.351,0.86808,1.3389,1.05233,0.85935,0.77988,0.82882,0.57101,0.94373,1.86283,1.22756,0.000847026,0.000847026,0.000847026
14,886.549,0.86386,1.34101,1.08535,0.94101,0.76194,0.87735,0.59688,0.91532,1.75898,1.10068,0.000825029,0.000825029,0.000825029
15,949.014,0.87362,1.30382,1.03115,0.9507,0.76661,0.91558,0.61487,0.905,1.5775,1.07901,0.000803031,0.000803031,0.000803031
16,1013.4,0.86153,1.20924,1.05212,0.92099,0.73073,0.88807,0.63214,0.90796,1.56126,1.1766,0.000781033,0.000781033,0.000781033
17,1075.62,0.79698,1.1443,1.06026,0.88354,0.75196,0.91091,0.6264,1.00055,1.71929,1.16335,0.000759035,0.000759035,0.000759035
18,1139.62,0.82218,1.17802,1.08358,0.92474,0.83325,0.88846,0.65186,0.92374,1.52077,1.11574,0.000737037,0.000737037,0.000737037
19,1202.76,0.80191,1.12744,1.02412,0.89653,0.78092,0.87535,0.63941,0.88126,1.47166,1.14124,0.00071504,0.00071504,0.00071504
20,1266.23,0.80032,1.08529,1.02169,0.80411,0.70894,0.82107,0.58549,0.87238,1.7709,1.13553,0.000693042,0.000693042,0.000693042
